OBJECTID,RoadName,RoadID,SectionID,RoadIDSect,LocationBe,LocationEn,PMBeg,PMEnd,SurfaceTyp,Lanes,Length,Width,Area,PCI_Inspec,PCI_Insp_1,PCI_Curren,Functional,Quadrant,Supervisor,RoadYard,Constructi,Construc_1
299,BONNEAU RD,55008,1017,55008 - 1017,BONNEAU RD,HWY 116,10.17,10.74,A,2,3010,18,54180,32,2015/05/11,28,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
572,CREST WAY,66004,1000,66004 - 1000,MIDDLEFIELD RD,HIGHLANDS BLVD,10,10.05,A,2,264,19,5016,33,2015/05/29,30,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
682,EAST COTATI AVE,6701,1049,6701 - 1049,LEAVE CITY LIMITS,PETALUMA HILL RD,10.49,11,O,2,2693,32,86176,67,2015/05/11,65,4 - Minor Arterial,SE,2nd District,COT,1985/01/01,1985/01/01,
461,CENTRAL AVE,56073,1000,56073 - 1000,THOMSON AVE,HIGHLANDS BLVD,10,10.46,A,2,2429,19,46151,34,2015/05/27,31,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
1166,JACOBSEN LN,57040,1000,57040 - 1000,ADOBE RD,END,10,10.59,A,2,3115,19,59185,36,2015/04/15,32,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
342,BUENA VISTA AVE,66015,2000,66015 - 2000,MOUNTAIN AVE,CHESTNUT AVE,20,20.26,A,2,1373,18,24714,8,2015/05/27,3,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
101,ARNOLD DR,5603,1114,5603 - 1114,ALMERIA DR,SPERRING RD,11.14,11.84,O,2,3696,42,155232,86,2015/02/23,84,4 - Minor Arterial,SE,1st District,SON,1986/12/31,1986/12/31,
847,FREDERICA,76009,1000,76009 - 1000,LAUREL AVE,WARM SORINGS RD,10,10.14,A,2,739,25,18475,41,2015/04/17,38,7 - Local,SE,1st District,SON,1990/01/01,1990/01/01,
1052,HATCHERY RD,57047,1000,57047 - 1000,GOODWIN AVE,OLD REDWOOD HWY,10,10.2,A,2,1056,18,19008,32,2015/04/26,28,7 - Local,SE,2nd District,COT,1983/01/01,1983/01/01,
16,ADOBE RD,5602,1301,5602 - 1301,LYNCH RD,SONOMA MOUNTAIN RD,13.01,13.42,O,2,2165,42,90930,86,2015/04/15,84,5 - Major Collector,SE,2nd District,COT,2010/03/16,1977/01/01,
723,EL RITERO,66093,1000,66093 - 1000,ESTRELLA DR,END,10,10.13,A,2,686,36,24696,50,2015/05/29,47,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
229,BIRCH DR,67010,1000,67010 - 1000,PONDEROSA DR,END,10,10.25,A,2,1320,22,29040,14,2015/04/26,9,7 - Local,SE,1st District,SON,1961/01/01,1961/01/01,
564,CRAIG AVE,56024,1000,56024 - 1000,CARRIGER RD,ARNOLD DR,10,10.49,A,2,2587,27,69849,43,2015/05/29,40,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
354,BURNDALE RD,55004,1167,55004 - 1167,HERSCHEL RD,PM 12.33,11.67,12.33,A,2,3485,27,94095,64,2015/05/11,62,7 - Local,SE,1st District,SON,1971/01/01,1971/01/01,
428,CASA GRANDE AVE,5702,1081,5702 - 1081,PET. CITY LIMITS,ADOBE RD,10.81,11.44,A,2,3000,30,90000,20,2015/02/11,11,6 - Minor Collector,SE,2nd District,COT,1985/01/01,1985/01/01,
194,BAY ST,56048,1000,56048 - 1000,SOLANO AVE,GROVE ST,10,10.29,A,2,1531,19,29089,13,2015/05/27,9,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
995,GRISWOLD AVE,76001,1000,76001 - 1000,END,HWY 12,10,10.25,A,2,1320,26,34320,75,2015/04/17,73,7 - Local,SE,1st District,SON,1979/01/01,1979/01/01,
1117,HOOKER AVE,66086,1000,66086 - 1000,END,AQUA CALIENTE RD,10,10.06,A,2,317,22,6974,42,2015/05/22,39,7 - Local,SE,1st District,SON,1984/01/01,1984/01/01,
119,ARNOLD DR,5604,1005,5604 - 1005,HWY 116,ARNOLD DR 5603,10.077,10.18,A,2,544,24,13056,36,2015/02/23,31,4 - Minor Arterial,SE,1st District,SON,1988/11/04,1988/11/04,
781,FIFTH AVE,56078,1000,56078 - 1000,BAINES AVE,CALLE DEL MONTE,10,10.05,A,2,264,22,5808,40,2015/05/22,37,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
1082,HICKORY ST,56049,1000,56049 - 1000,WALNUT AVE,OAK ST,10,10.07,A,2,370,19,7030,5,2015/05/22,0,7 - Local,SE,1st District,SON,1982/01/01,1982/01/01,
443,CAVEDALE RD,66032,1610,66032 - 1610,PM 16.10,TRINITY RD,16.1,17.5,A,2,7392,11,81312,24,2015/03/30,20,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
1140,HYDE RD,55012,1000,55012 - 1000,BURNDALE RD,HYDE RD,10,10.24,A,2,1267,15,19005,20,2015/05/18,16,7 - Local,SE,1st District,SON,1975/01/01,1975/01/01,
185,BAXTER AVE,56118,2000,56118 - 2000,END,BARRETT AVE,20,20.06,A,2,317,12,3804,90,2015/05/27,88,7 - Local,SE,1st District,SON,1966/01/01,1966/01/01,
105,ARNOLD DR,5603,1283,5603 - 1283,PETALUMA AVE,CRAIG AVE,12.83,13.84,O,2,5333,40,213320,71,2015/02/23,68,4 - Minor Arterial,SE,1st District,SON,2006/06/09,1992/06/30,
926,GIBSON ST,66053,1000,66053 - 1000,CARQUINEZ AVE,ARNOLD DR,10,10.27,A,2,1426,17,24242,50,2015/04/17,47,7 - Local,SE,1st District,SON,1970/09/04,1970/09/04,
1069,HENNO RD,66049,1000,66049 - 1000,ODONNELL LN,PM MARKER,10,11.01,A,2,5333,16,85328,58,2015/04/17,56,7 - Local,SE,1st District,SON,1981/01/25,1981/01/25,
18,ADOBE RD,5602,1425,5602 - 1425,EAST WASHINGTON ST,CASA GRANDE AVE,14.25,15.82,O,2,8290,39,323310,87,2015/04/15,85,5 - Major Collector,SE,2nd District,COT,2010/03/16,1973/01/01,
787,FIFTH ST WEST,56005,1000,56005 - 1000,LEVERONI RD,SONOMA CITY LIMITS,10,10.33,A,2,1485,28,41580,55,2015/04/07,51,4 - Minor Arterial,SE,1st District,SON,1971/01/01,1971/01/01,
334,BROWNS LN,46005,1000,46005 - 1000,STATE HWY 116,END,10,10.93,A,2,4910,20,98200,57,2015/06/16,55,7 - Local,SE,2nd District,COT,1984/01/01,1984/01/01,
551,CORY LN,56145,1000,56145 - 1000,CANYON RD,END,10,10.09,A,2,475,22,10450,32,2015/05/11,28,7 - Local,SE,1st District,SON,1963/01/01,1963/01/01,
123,ARROYO RD,56071,1019,56071 - 1019,PM 10.19,CALLE DEL MONTE,10.19,10.22,A,2,158,20,3160,26,2015/05/27,22,7 - Local,SE,1st District,SON,1964/01/01,1964/01/01,
834,FOWLER CREEK RD,56021A,1148,56021A - 1148,PM 11.48,ARNOLD DR.,11.48,11.92,A,2,2323,22,51106,15,2015/05/22,11,7 - Local,SE,1st District,SON,1980/01/01,1980/01/01,
1115,HOLLAND DR,77029,1034,77029 - 1034,VERDE VISTA DR,BENNET VALLEY RD,10.34,11.05,O,2,3749,19,71231,41,2015/05/22,38,7 - Local,SE,1st District,COT,1999/09/26,1949/04/09,
17,ADOBE RD,5602,1342,5602 - 1342,SONOMA MOUNTAIN RD,EAST WASHINGTON ST,13.42,14.25,O,2,4382,42,184044,85,2015/04/15,82,5 - Major Collector,SE,2nd District,COT,2010/03/16,1977/01/01,
733,ELSINORE WAY,78033,1000,78033 - 1000,END,SANTA BARBARA DR,10,10.08,A,2,422,34,14348,26,2015/05/29,22,7 - Local,SE,3rd District,COT,1966/01/01,1966/01/01,
320,BRISTOL RD,66063,1000,66063 - 1000,END,SCHULTZ RD,10,10.32,A,2,1690,14,23660,35,2015/05/11,32,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
556,COUNTRY CLUB DR,56139,1000,56139 - 1000,ARNOLD DR,END,10,10.16,A,2,845,31,26195,23,2015/05/29,19,7 - Local,SE,1st District,SON,1970/01/01,1970/01/01,
712,EIGHTH ST EAST,5502,1101,5502 - 1101,SCHELLVILLE RD (NORTH END),NAPA RD,11.01,11.87,A,2,4541,35,158935,62,2015/04/07,58,5 - Major Collector,SE,1st District,SON,1987/10/15,1972/09/02,
709,EDUCATION DR,68165,1000,68165 - 1000,END BARRICADE,BELLEVUE AVE,10,10.161,A,2,850,36,30600,90,2015/04/26,89,7 - Local,SE,3rd District,COT,2009/12/10,2009/12/10,
205,BELLEVUE AVE,68164,1000,68164 - 1000,SANTA ROSA CITY LIMIT,END BARRICADE,10.163,10.312,A,2,787,72,56664,87,2015/04/26,85,7 - Local,SE,3rd District,COT,2009/12/10,2009/12/10,
439,CAVEDALE RD,66032,1238,66032 - 1238,PM 12.38,PM 13.18,12.38,13.18,A,2,4224,13,54912,32,2015/03/30,28,7 - Local,SE,1st District,SON,1969/01/01,1969/01/01,
14,ADOBE RD,5602,1136,5602 - 1136,JACOBSEN LN,CORONA RD / HARDIN LN,11.36,12.19,O,2,4382,24,105168,92,2015/04/15,91,5 - Major Collector,SE,2nd District,COT,2011/10/24,1967/06/01,
687,EAST RAILROAD AVE,58033A,1147,58033A - 1147,OLD REDWOOD HWY N,RR CROSSING,11.47,12.2,O,2,3854,27,104058,68,2015/05/11,66,5 - Major Collector,SE,2nd District,COT,1974/01/01,1974/01/01,
664,DUNBAR RD,66056,1106,66056 - 1106,BRIDGE AT DUNBAR SCH,HWY 12,11.06,11.65,A,2,3115,22,68530,48,2015/04/17,45,7 - Local,SE,1st District,SON,1988/01/01,1988/01/01,
321,BRISTOL RD,66063,1032,66063 - 1032,SCHULTZ RD,KEISER RD,10.32,10.42,A,2,528,12,6336,40,2015/05/11,37,7 - Local,SE,1st District,SON,1977/01/01,1977/01/01,
